topology,n_nodes,seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
D,15,27,12,QAOA(p=2),2.300332666389579,1.1000624080043053,1,1.6949946420732993
D,15,28,12,Greedy,1.3466004065003006,1.26919912872836e-05,0,1.0
D,15,28,12,MILP,1.3466004065003006,0.0011019749945262447,0,1.0
D,15,28,12,SimulatedAnnealing,1.3466004065003006,0.014621740992879495,0,1.0
D,15,28,12,Exact,1.3466004065003006,0.000299241000902839,0,1.0
D,15,28,12,QAOA(p=2),1.3920229694219017,0.9832630439923378,0,1.0337312856154934
D,15,29,12,Greedy,0.9966931637778487,1.2787000741809607e-05,0,1.0
D,15,29,12,MILP,0.9966931637778487,0.00106760099879466,0,1.0
D,15,29,12,SimulatedAnnealing,0.9966931637778487,0.014442992003750987,0,1.0
D,15,29,12,Exact,0.9966931637778487,0.00029993099451530725,0,1.0
D,15,29,12,QAOA(p=2),0.9966931637778487,1.4922299729951192,0,1.0
E,20,0,12,Greedy,0.8792566090399774,1.4464996638707817e-05,0,1.0
E,20,0,12,MILP,0.8792566090399774,0.001124628004617989,0,1.0
E,20,0,12,SimulatedAnnealing,0.8792566090399774,0.013417960988590494,0,1.0
E,20,0,12,Exact,0.8792566090399774,0.00028722498973365873,0,1.0
E,20,0,12,QAOA(p=2),0.8792566090399774,1.1143157259939471,0,1.0
E,20,1,12,Greedy,0.7272527978934278,1.3270007912069559e-05,0,1.0
E,20,1,12,MILP,0.7272527978934278,0.0011319000041112304,0,1.0
E,20,1,12,SimulatedAnnealing,0.7272527978934278,0.014173004004987888,0,1.0
E,20,1,12,Exact,0.7272527978934278,0.0003018400020664558,0,1.0
E,20,1,12,QAOA(p=2),0.7272527978934278,1.0329942219977966,0,1.0
E,20,2,12,Greedy,0.9996316408306853,1.4851000742055476e-05,0,1.0
E,20,2,12,MILP,0.9996316408306853,0.0011778110056184232,0,1.0
E,20,2,12,SimulatedAnnealing,0.9996316408306853,0.014210259992978536,0,1.0
E,20,2,12,Exact,0.9996316408306853,0.00036326400004327297,0,1.0
E,20,2,12,QAOA(p=2),0.9996316408306853,1.3023206270008814,0,1.0
E,20,3,12,Greedy,0.7437522053670733,1.0987991117872298e-05,0,1.0
E,20,3,12,MILP,0.7437522053670733,0.0009608130058040842,0,1.0
E,20,3,12,SimulatedAnnealing,0.7437522053670733,0.011714959997334518,0,1.0
E,20,3,12,Exact,0.7437522053670733,0.0002492609928594902,0,1.0
E,20,3,12,QAOA(p=2),0.7437522053670733,1.2700999799999408,0,1.0
E,20,4,12,Greedy,0.7091348826178745,1.11840054159984e-05,0,1.0
E,20,4,12,MILP,0.7091348826178745,0.0010635009966790676,0,1.0
E,20,4,12,SimulatedAnnealing,0.7091348826178745,0.011701976996846497,0,1.0
E,20,4,12,Exact,0.7091348826178745,0.0002743619988905266,0,1.0
E,20,4,12,QAOA(p=2),0.8342009943829964,1.216438122006366,0,1.1763643487730038
E,20,5,12,Greedy,0.8346087328751821,1.2470001820474863e-05,0,1.0
E,20,5,12,MILP,0.8346087328751821,0.0012063600006513298,0,1.0
E,20,5,12,SimulatedAnnealing,0.8346087328751821,0.014388240000698715,0,1.0
E,20,5,12,Exact,0.8346087328751821,0.0003027280035894364,0,1.0
E,20,5,12,QAOA(p=2),0.8346087328751821,1.0921557160036173,0,1.0
E,20,6,12,Greedy,0.883949102718482,1.1690004612319171e-05,0,1.0
E,20,6,12,MILP,0.883949102718482,0.000979554999503307,0,1.0
E,20,6,12,SimulatedAnnealing,0.883949102718482,0.011683527001878247,0,1.0
E,20,6,12,Exact,0.883949102718482,0.00028827899950556457,0,1.0
E,20,6,12,QAOA(p=2),0.883949102718482,1.1112783029966522,0,1.0
E,20,7,12,Greedy,0.7614113951112174,1.5689001884311438e-05,0,1.0
E,20,7,12,MILP,0.7614113951112174,0.0013028039975324646,0,1.0
E,20,7,12,SimulatedAnnealing,0.7614113951112174,0.011516740996739827,0,1.0
E,20,7,12,Exact,0.7614113951112174,0.00032451399601995945,0,1.0
E,20,7,12,QAOA(p=2),0.7614113951112174,1.1092860470089363,0,1.0
E,20,8,12,Greedy,0.7612923969491376,1.406800583936274e-05,0,1.0
E,20,8,12,MILP,0.7612923969491376,0.0011580249993130565,0,1.0
E,20,8,12,SimulatedAnnealing,0.7612923969491376,0.014115533005679026,0,1.0
E,20,8,12,Exact,0.7612923969491376,0.0003115590079687536,0,1.0
